,episodio,recompensa,distancia,pX,pY,pZ
549,550,54951,43.0,129.0,96.0,69.0
550,551,346020,17.0,86.0,96.0,109.0
551,552,93770,33.0,124.0,96.0,78.0
552,553,4750000,5.0,100.0,96.0,103.0
553,554,189035,23.0,79.0,96.0,109.0
554,555,29393,59.0,41.0,96.0,103.0
555,556,206611,22.0,119.0,96.0,89.0
556,557,88279,34.0,125.0,96.0,77.0
557,558,173611,24.0,119.0,96.0,86.0
558,559,4000000,5.0,99.0,96.0,103.0
559,560,4000000,5.0,100.0,96.0,103.0
560,561,1000000,10.0,109.0,96.0,97.0
561,562,113709,30.0,72.0,96.0,110.0
562,563,26587,62.0,38.0,96.0,105.0
563,564,93770,33.0,68.0,96.0,105.0
564,565,510204,14.0,112.0,96.0,93.0
565,566,74417,37.0,64.0,96.0,108.0
566,567,625958,13.0,111.0,96.0,95.0
567,568,45269,47.0,54.0,96.0,106.0
568,569,173611,24.0,78.0,96.0,110.0
569,570,68083,39.0,127.0,96.0,72.0
570,571,29060,59.0,41.0,96.0,102.0
571,572,1000000,10.0,108.0,96.0,96.0
572,573,91827,33.0,69.0,96.0,111.0
573,574,1562500,8.0,95.0,96.0,105.0
574,575,30427,58.0,130.0,96.0,51.0
575,576,220042,21.0,117.0,96.0,88.0
576,577,116307,30.0,122.0,96.0,80.0
577,578,213326,22.0,81.0,96.0,110.0
578,579,1156378,10.0,108.0,96.0,96.0
579,580,35164,54.0,131.0,96.0,56.0
580,581,137174,27.0,75.0,96.0,108.0
581,582,2532123,7.0,106.0,96.0,99.0
582,583,54083,43.0,58.0,96.0,110.0
583,584,1453189,8.0,106.0,96.0,96.0
584,585,287552,19.0,84.0,96.0,109.0
585,586,259002,20.0,83.0,96.0,109.0
586,587,1562500,8.0,96.0,96.0,105.0
587,588,564545,13.0,112.0,96.0,96.0
588,589,884297,11.0,93.0,96.0,107.0
589,590,5500000,5.0,101.0,96.0,102.0
590,591,220042,22.0,81.0,96.0,110.0
591,592,1078189,10.0,109.0,96.0,97.0
592,593,537374,14.0,112.0,96.0,95.0
593,594,30427,58.0,42.0,96.0,104.0
594,595,58555,42.0,128.0,96.0,69.0
595,596,2532123,7.0,106.0,96.0,99.0
